ticker,lookback_start,lookback_end,rebalance_count,ow_count,uw_count,ow_ratio,uw_ratio,latest_portfolio_weight,latest_benchmark_weight,latest_active_weight,avg_active_weight,min_active_weight,max_active_weight,persistent_ow,persistent_uw
LRCX,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.006989835690622603,0.007903792005724703,-0.0009139563151021003,-0.0007655454415001148,-0.0009139563151021003,-0.0006621107444293632,False,True
PLD,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.00217768290281672,0.0029914782428804854,-0.0008137953400637653,-0.0008060104307037266,-0.000833843217145283,-0.0007855678163890449,False,True
FCX,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0011167546026902106,0.0018933883449808126,-0.0007766337422906019,-0.0008256956802323445,-0.0008912295275293599,-0.0007766337422906019,False,True
ETN,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0024700292741029594,0.0031901199909262702,-0.0007200907168233108,-0.0007572627887943526,-0.0008353316701008202,-0.0007120943105576568,False,True
NEE,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.003271576186249538,0.003982912387023792,-0.0007113362007742543,-0.0007527293850869563,-0.0007874301877193891,-0.0007113362007742543,False,True
MPWR,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0009924710948347045,0.0016512171489832552,-0.0006587460541485506,-0.0005994568009629483,-0.0007135093087614415,-0.0005066978612363375,False,True
LMT,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0019581195295734085,0.0026071279362091596,-0.0006490084066357511,-0.0007391853803655819,-0.0008130934282617971,-0.0006490084066357511,False,True
REGN,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0008888138390969097,0.0014739625443494608,-0.0005851487052525511,-0.0007029001070973805,-0.0007558732751028337,-0.0005851487052525511,False,True
MPC,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0010632579877671556,0.0016320788668975686,-0.000568820879130413,-0.0005355348289849635,-0.0005809215790220593,-0.00046317485407477163,False,True
AMT,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0013147319392550953,0.0018550761933357816,-0.0005403442540806863,-0.0005445667709086366,-0.0005549489213399631,-0.0005319081658340468,False,True
HON,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.002448960293365779,0.0029805856392430205,-0.0005316253458772413,-0.0005628753916489165,-0.0005887867108409278,-0.0005316253458772413,False,True
FN,2026-02-24,2026-05-20,4,0,4,0.0,1.0,9.554611998434716e-06,0.0005133929160625187,-0.000503838304064084,-0.000525755501667376,-0.000565413474585401,-0.0004871146436432996,False,True
JPM,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.01705802694204276,0.017508311904806617,-0.00045028496276385693,-0.0004099076065572039,-0.00046501404380767247,-0.000311825108531668,False,True
EQIX,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0018397550747357035,0.0022728368888125057,-0.00043308181407680215,-0.0004120634122654643,-0.0004631758019751726,-0.00035868889347099035,False,True
LNG,2026-02-24,2026-05-20,4,0,4,0.0,1.0,0.0010222938477423098,0.0011048065721291848,-8.2512724386875e-05,-6.431205974398506e-05,-8.513925438679085e-05,-4.436104414860657e-05,False,True
GS,2026-02-24,2026-05-20,4,1,3,0.25,0.75,0.0054092420764749885,0.006514627207920448,-0.001105385131445459,-0.0003341407974312824,-0.0011746611479698157,0.0019984315210037663,False,False
NFLX,2026-02-24,2026-05-20,4,1,3,0.25,0.75,0.007850237946915917,0.008026043710700254,-0.00017580576378433722,0.0003551230282512882,-0.00017580576378433722,0.0017113121045207267,False,False
BLK,2026-02-24,2026-05-20,4,1,3,0.25,0.75,0.0035658445129314463,0.003721713217775415,-0.00015586870484396876,0.00041282683891268133,-0.0001581966601636748,0.0020878995466824535,False,False
SPGI,2026-02-24,2026-05-20,4,2,2,0.5,0.5,0.002663213892320622,0.002735811325680204,-7.259743335958193e-05,0.001088736260270503,-7.259743335958193e-05,0.0022503425753318596,False,False
MA,2026-02-24,2026-05-20,4,3,1,0.75,0.25,0.009524151476176685,0.00952392282029125,2.2865588543419246e-07,-0.00019344244539499502,-0.0013935966146239268,0.0003629612233649569,False,False
PG,2026-02-24,2026-05-20,4,2,2,0.5,0.5,0.0071772324044068825,0.007176904068753952,3.283356529307571e-07,-0.001034309299712228,-0.002322273001797899,0.00034903273828319585,False,False
DE,2026-02-24,2026-05-20,4,2,2,0.5,0.5,0.0032772858719427806,0.003275604043210033,1.6818287327476956e-06,-0.00019221686710987678,-0.0010090249145176438,0.001200541065933201,False,False
AMD,2026-02-24,2026-05-20,4,1,3,0.25,0.75,0.015926749743230825,0.015791694486833045,0.00013505525639778,-0.0017314162611694703,-0.004181939749114552,0.00013505525639778,False,False
AMAT,2026-02-24,2026-05-20,4,2,2,0.5,0.5,0.007544227189307043,0.00732981168514978,0.00021441550415726273,-0.0006345175459684773,-0.0015748811791956733,0.0003185224229431526,False,False
VRT,2026-02-24,2026-05-20,4,2,2,0.5,0.5,0.004446591216407627,0.0026236027056688025,0.0018229885107388243,0.0008712893919112511,-0.00022604561684494038,0.002064396041542218,False,False
