date,signal_date,signal_lag_days,confidence,trailing_ic_mean,matured_ic_count,dynamic_l1_limit,dynamic_active_share_limit,dynamic_turnover_limit,enforce_alpha_directionality,negative_signal_ow_before,negative_signal_ow_after,target_turnover,candidate_turnover,executed_turnover,projection_turnover_before_cap,turnover_cap_scale,signal_scale,ema_alpha,projection_status,constraint_violation,turnover_excess,fallback_used,weight_sum,min_weight,max_weight_actual,active_l1,allocated_active_budget,raw_target_active_share,target_active_share,executed_active_share,tradable_name_count,non_tradable_portfolio_weight,non_tradable_benchmark_weight,tradable_weight_sum_error,tradable_benchmark_sum_error
2019-09-17,2019-09-16,1,0.3129141904426148,0.002516567617704593,6,0.22258283808852297,0.11129141904426149,0.05190399333098304,1,0,0,0.19734092661844885,0.02945558542625016,0.05361139570429028,0.052136962138976894,0.9955315998777825,,0.8,projected|turnover_capped,hard_rule_turnover_override,0.001707402373307236,0,1.0,0.0,0.09540839230701334,0.15322436541376047,0.11129141904426149,0.11129141904426149,0.11129141904426149,0.07661218270688024,63,0.0,0.0,2.220446049250313e-16,0.0
2019-10-16,2019-10-15,1,1.0,0.0759827251894941,6,0.36,0.18,0.1,1,0,0,0.27061975118553194,0.06492426277428273,0.06736609602915346,0.06734709094329622,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.0951493825696979,0.17612527039767928,0.18,0.17999999999999997,0.17999999999999994,0.08806263519883964,63,0.0,0.0,4.440892098500626e-16,1.1102230246251565e-16
2019-11-14,2019-11-13,1,0.9958759327810094,0.029835037311240376,6,0.35917518655620184,0.17958759327810092,0.09971131529467066,1,0,0,0.24910718447913932,0.052535724413251245,0.05464312151542423,0.05459710373799444,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.09882166985191615,0.2030675978621153,0.17958759327810092,0.17958759327810087,0.17958759327810087,0.10153379893105766,63,0.0,0.0,2.220446049250313e-16,0.0
2019-12-13,2019-12-12,1,1.0,0.07692256238825516,6,0.36,0.18,0.1,1,0,0,0.22314594298124557,0.03290279432911582,0.03379805112465231,0.03379539412358493,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.10006908548045695,0.21793586871273798,0.18,0.17999999999999997,0.17999999999999997,0.10896793435636899,63,0.0,0.0,0.0,2.220446049250313e-16
2020-01-13,2020-01-10,1,1.0,0.14231087838802012,6,0.36,0.18,0.1,1,0,0,0.24220227851667342,0.04932734899018358,0.06744471374678626,0.06744464828532681,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.10730032201163295,0.21816141715045825,0.18,0.18,0.18,0.10908070857522913,63,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
2020-02-11,2020-02-10,1,1.0,0.15913818484383002,6,0.36,0.18,0.1,1,0,0,0.2676532259792795,0.06268483711934139,0.06924235057378458,0.0690278060122088,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1020505196479789,0.21988582607245144,0.18,0.18000000000000002,0.18,0.10994291303622572,63,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
2020-03-11,2020-03-10,1,1.0,0.21109350998463902,6,0.36,0.18,0.1,1,0,0,0.29453131117535836,0.07872506213855571,0.0825812048367145,0.08251341924023814,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1042998733996519,0.23265023414815522,0.18,0.18000000000000002,0.18,0.11632511707407761,63,0.0,0.0,0.0,2.220446049250313e-16
2020-04-09,2020-04-08,1,1.0,0.20150889656938045,6,0.36,0.18,0.1,1,0,0,0.30779985862384973,0.07561928509720599,0.10003882910590021,0.1000556639214983,0.9994436704598556,,0.8,projected|turnover_capped,hard_rule_turnover_override,3.882910590020938e-05,0,1.0,0.0,0.10678284453582648,0.2035910538846469,0.18,0.17999999999999997,0.17999999999999997,0.10179552694232345,63,0.0,0.0,0.0,0.0
2020-05-08,2020-05-07,1,1.0,0.25107206861239123,6,0.36,0.18,0.1,1,0,0,0.26442098014709253,0.07000833375115592,0.07437384452372559,0.07440004638863701,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.10810681237177043,0.21928292593621648,0.18,0.18,0.17999999999999997,0.10964146296810824,63,0.0,0.0,2.220446049250313e-16,0.0
2020-06-08,2020-06-05,1,1.0,0.13248047875064006,6,0.36,0.18,0.1,1,0,0,0.2578964282683901,0.05994196231637061,0.06949978349976041,0.06947636019773444,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.10500322275444654,0.22681794737212943,0.18,0.18,0.18,0.11340897368606472,63,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
2020-07-07,2020-07-06,1,1.0,0.16600262416794676,6,0.36,0.18,0.1,1,0,0,0.24897483339244939,0.058087557570620965,0.0644625502127096,0.06431965909234605,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11173396831523119,0.23673327381297332,0.18,0.18,0.17999999999999994,0.11836663690648666,63,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
2020-08-05,2020-08-04,1,1.0,0.09923835125448027,6,0.36,0.18,0.1,1,0,0,0.36784960390655985,0.10283139439062806,0.09985613360576995,0.10000113253590437,0.9999886747692187,,0.8,projected|turnover_capped,,0.0,0,1.0,0.0,0.12332969720520576,0.18324932571465796,0.18,0.17999999999999997,0.1799999999999999,0.09162466285732898,63,0.0,0.0,0.0,0.0
2020-09-03,2020-09-02,1,1.0,0.05159530209933436,6,0.36,0.18,0.1,1,0,0,0.28269065204120536,0.06727129811893322,0.0790966729198818,0.07909022993813057,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12779963221270432,0.1895858439634388,0.18,0.17999999999999994,0.17999999999999994,0.0947929219817194,63,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
