date,fund_daily_return,bm_daily_return,active_daily_return,fund_cumulative,bm_cumulative,is_rebalance,turnover
2021-02-19,0.000335493201807443,-0.003628909454176102,0.003964402655983545,2.1758107552661,1.9836969680051546,0,0.0
2021-02-22,-0.01685862787846662,-0.015652470474843787,-0.0012061574036228324,2.1391295714091036,1.9526472097824168,0,0.0
2021-02-23,-0.0021529538523353837,-0.0007172681414871243,-0.0014356857108482595,2.1345241241576938,1.9512466381472762,0,0.0
2021-02-24,0.008720524317376807,0.0098582648533748,-0.0011377405359979924,2.1531382936884387,1.970482544300389,0,0.0
2021-02-25,-0.028982359846504845,-0.026665045191742027,-0.0023173146547628178,2.090735264861471,1.9179395382070803,0,0.0
2021-02-26,-0.0022176198586029883,-0.00223228529474695,1.4665436143961735e-05,2.0860988088190324,1.913658149979727,0,0.0
2021-03-01,0.025457221296019995,0.02533851985962614,0.00011870143639385392,2.1392050878405025,1.9621474150175235,1,0.021681466073982556
2021-03-02,-0.013080523604964742,-0.012581301738308586,-0.0004992218666561559,2.1112231651931443,1.9374610463341457,0,0.0
2021-03-03,-0.02052429030730078,-0.019182614877410194,-0.0013416754298905854,2.067891808047222,1.9002954772423335,0,0.0
2021-03-04,-0.013784722191237072,-0.013189174047393268,-0.0005955481438438045,2.0393864939517563,1.87523214945151,0,0.0
2021-03-05,0.017508770375104742,0.017687194248293545,-0.00017842387318880298,2.0750936437804475,1.9083997447395038,0,0.0
2021-03-08,-0.020316324104623747,-0.01798609472938358,-0.0023302293752401684,2.0329353687659593,1.8740750861490876,0,0.0
2021-03-09,0.027959840058920996,0.026328995125425494,0.0016308449334955025,2.089775916526779,1.9234175999569882,0,0.0
2021-03-10,0.0007063251640917191,0.0011304078534106242,-0.0004240826893189051,2.0912519778439345,1.925591846317368,0,0.0
2021-03-11,0.020511617529304006,0.017233404114939167,0.0032782134143648396,2.13414693857087,1.9587763487653869,0,0.0
2021-03-12,-0.004137095109957803,-0.0035163922559472587,-0.000620702854010544,2.125317769707377,1.9518885227814557,0,0.0
2021-03-15,0.005489613721981038,0.004908350829155512,0.0005812628928255261,2.1369849432995327,1.961469076430669,1,0.015126320846593634
2021-03-16,0.00239154649160436,0.004190966930005772,-0.0017994204384014119,2.142095642143292,1.9696895284642189,0,0.0
2021-03-17,0.0023005098570042883,0.0017770030464050253,0.000523506810599263,2.147023554282689,1.973189672756772,0,0.0
2021-03-18,-0.02278735137065497,-0.021199166151602614,-0.001588185219052355,2.0980985741501765,1.9313596970353746,0,0.0
2021-03-19,0.0012315488231151401,-0.0001505339167811731,0.0013820827398963132,2.100682484979951,1.9310689618954664,0,0.0
2021-03-22,0.01212640129509672,0.011806178850788515,0.000320222444308205,2.126156203786399,1.953867507432811,0,0.0
2021-03-23,-0.0054977883444511195,-0.0037770427528778117,-0.0017207455915733078,2.1144670469907396,1.9464876663237785,0,0.0
2021-03-24,-0.012918676768983816,-0.011315670086162629,-0.0016030066828211873,2.0871509306719984,1.924461854064874,0,0.0
2021-03-25,0.0008151993731342754,0.0010958217887006567,-0.00028062241556638134,2.0888523748023187,1.9265707212960816,0,0.0
2021-03-26,0.015119538389464428,0.014591060323572864,0.0005284780658915637,2.1204348584730663,1.954681430908142,0,0.0
2021-03-29,-7.915224639564555e-05,0.0010472351661572846,-0.0011263874125529301,2.1202670212906827,1.9567284420412234,1,0.026208415243223624
2021-03-30,-0.0034200188026790577,-0.003935121549182031,0.0005151027465029735,2.113015668211168,1.9490284777830496,0,0.0
2021-03-31,0.011673104909954324,0.010328055730319084,0.00134504917963524,2.1376811217825744,1.969158152521572,0,0.0
2021-04-01,0.01658260461351654,0.01676397403063296,-0.00018136941711641846,2.173129442614873,2.0021690686526528,0,0.0
2021-04-02,0.0005285455390765344,0.000564083583839214,-3.553804476267956e-05,2.1742780404876028,2.0032984593563503,0,0.0
2021-04-05,0.020059311035842107,0.019517698727713344,0.0005416123081287624,2.217892559980145,2.04239823514776,0,0.0
2021-04-06,-0.003247107507480263,-0.0028048394745931134,-0.0004422680328871496,2.2106908243978487,2.0366696359549783,0,0.0
2021-04-07,0.004206297417940332,0.0050947977177987136,-0.0008885002998583816,2.219989647504378,2.0470460557681514,0,0.0
