date,n_names,base_ic,rl_ic,delta_ic,base_proxy_active_return,rl_proxy_active_return,delta_proxy_active_return,base_turnover_proxy,rl_turnover_proxy
2020-09-29,63,0.28489823348694315,0.28489823348694315,0.0,0.027780182108573918,0.027780182108573918,0.0,0.14839604203903659,0.14839604203903659
2020-09-30,64,0.15004578754578754,0.15004578754578754,0.0,0.017129915550557043,0.017129915550557043,0.0,0.5870976731510569,0.5870976731510569
2020-10-01,64,0.03882783882783882,0.03882783882783882,0.0,0.008600450161623151,0.008600450161623151,0.0,0.1475716505053249,0.1475716505053249
2020-10-02,64,0.07037545787545786,0.07037545787545786,0.0,0.008487144931846435,0.008487144931846435,0.0,0.12701863551025644,0.12701863551025644
2020-10-05,64,0.018315018315018312,0.018315018315018312,0.0,0.004000293303001343,0.004000293303001343,0.0,0.11124934016265697,0.11124934016265697
2020-10-06,64,0.05517399267399267,0.05517399267399267,0.0,0.006907625183013976,0.006907625183013976,0.0,0.07807136473361223,0.07807136473361223
2020-10-07,64,0.08978937728937728,0.08978937728937728,0.0,0.006166333324770052,0.006166333324770052,0.0,0.1145925183130905,0.1145925183130905
2020-10-08,64,0.17408424908424908,0.17408424908424908,0.0,0.013426454865393194,0.013426454865393194,0.0,0.07410042665094317,0.07410042665094317
2020-10-09,64,0.19478021978021975,0.19478021978021975,0.0,0.00967768204139057,0.00967768204139057,0.0,0.08783642941485313,0.08783642941485313
2020-10-12,64,-0.054166666666666655,-0.054166666666666655,0.0,-0.007689408836566697,-0.007689408836566697,0.0,0.08169007452353047,0.08169007452353047
2020-10-13,64,-0.15256410256410255,-0.15256410256410255,0.0,-0.021365036958075522,-0.021365036958075522,0.0,0.10324161216255323,0.10324161216255323
2020-10-14,64,-0.17326007326007326,-0.17326007326007326,0.0,-0.03471008866922728,-0.03471008866922728,0.0,0.1074282472358167,0.1074282472358167
2020-10-15,64,-0.1564102564102564,-0.1564102564102564,0.0,-0.019379969273399585,-0.019379969273399585,0.0,0.1024440272516063,0.1024440272516063
2020-10-16,64,-0.23681318681318678,-0.23681318681318678,0.0,-0.03128907061257934,-0.03128907061257934,0.0,0.07046123699366416,0.07046123699366416
2020-10-19,64,-0.26630036630036624,-0.26630036630036624,0.0,-0.041497102876813206,-0.041497102876813206,0.0,0.2266876006577784,0.2266876006577784
2020-10-20,64,-0.22202380952380948,-0.22202380952380948,0.0,-0.04283452511153255,-0.04283452511153255,0.0,0.14855249701216544,0.14855249701216544
2020-10-21,64,-0.13727106227106226,-0.13727106227106226,0.0,-0.03299446155664645,-0.03299446155664645,0.0,0.09320744914702293,0.09320744914702293
2020-10-22,64,-0.044047619047619044,-0.044047619047619044,0.0,-0.024855876420409786,-0.024855876420409786,0.0,0.06630527917514674,0.06630527917514674
2020-10-23,64,-0.09597069597069595,-0.09597069597069595,0.0,-0.026337752210284476,-0.026337752210284476,0.0,0.07957794791123389,0.07957794791123389
2020-10-26,64,-0.0699175824175824,-0.0699175824175824,0.0,-0.03325079827239663,-0.03325079827239663,0.0,0.08388609683548418,0.08388609683548418
